idMesure,dateMesure,pressionMer,directionVent,vitesseVent,temperature,humidite,nebulosite,pressionStation,hauteurNeige,codStation,codTempsPresent
1,2018-10-18 00:00:00,102280,10,1.500000,282.650000,94,\N,101400,0.000000,7005,10
2,2018-10-18 00:00:00,102260,10,1.700000,285.250000,91,\N,101690,\N,7015,0
3,2018-10-18 00:00:00,102300,40,7.700000,288.650000,81,60,102200,\N,7020,3
4,2018-10-18 00:00:00,102200,20,1.500000,287.750000,90,100,101400,0.000000,7027,0
5,2018-10-18 00:00:00,102190,40,4.000000,285.150000,88,\N,100360,0.000000,7037,0
6,2018-10-18 00:00:00,102000,300,3.200000,286.050000,90,\N,100860,0.000000,7072,0
7,2018-10-18 00:00:00,102200,30,2.500000,283.550000,98,\N,101010,0.000000,7110,0
8,2018-10-18 00:00:00,102170,50,9.400000,288.150000,80,\N,101470,\N,7117,\N
9,2018-10-18 00:00:00,102010,10,1.900000,287.150000,91,100,101560,\N,7130,0
10,2018-10-18 00:00:00,102070,30,3.900000,286.250000,89,\N,100330,0.000000,7139,60
11,2018-10-18 00:00:00,102030,10,3.600000,287.450000,82,0,100950,0.000000,7149,1
12,2018-10-18 00:00:00,101890,310,2.700000,284.450000,94,\N,100470,0.000000,7168,0
13,2018-10-18 00:00:00,101920,10,1.300000,283.750000,86,\N,97830,\N,7181,0
14,2018-10-18 00:00:00,101870,340,1.400000,283.550000,92,\N,100050,0.000000,7190,0
15,2018-10-18 00:00:00,101940,20,5.300000,285.950000,91,\N,101420,\N,7207,\N
16,2018-10-18 00:00:00,101830,20,2.900000,286.450000,91,\N,101520,0.000000,7222,0
17,2018-10-18 00:00:00,101870,50,5.000000,288.350000,78,\N,100540,0.000000,7240,0
18,2018-10-18 00:00:00,101800,40,1.900000,287.850000,72,\N,99830,0.000000,7255,0
19,2018-10-18 00:00:00,101740,340,2.700000,286.150000,70,\N,99040,0.000000,7280,0
20,2018-10-18 00:00:00,101890,160,0.800000,280.850000,93,\N,98590,0.000000,7299,10
21,2018-10-18 00:00:00,101680,20,4.400000,289.050000,88,60,101410,\N,7314,2
22,2018-10-18 00:00:00,101770,60,1.000000,287.850000,84,75,100340,0.000000,7335,0
23,2018-10-18 00:00:00,101620,60,4.000000,289.750000,55,\N,96950,0.000000,7434,0
24,2018-10-18 00:00:00,101750,170,0.700000,283.850000,78,\N,97870,0.000000,7460,0
25,2018-10-18 00:00:00,\N,220,1.400000,284.050000,80,100,92200,0.000000,7471,0
26,2018-10-18 00:00:00,101670,150,1.400000,285.350000,81,40,98810,0.000000,7481,2
27,2018-10-18 00:00:00,101600,240,0.600000,287.950000,92,100,101030,0.000000,7510,0
28,2018-10-18 00:00:00,101610,120,1.100000,287.150000,96,100,98530,0.000000,7535,0
29,2018-10-18 00:00:00,101530,70,1.900000,286.650000,87,\N,93370,0.000000,7558,0
30,2018-10-18 00:00:00,101520,50,1.700000,290.550000,66,\N,100650,0.000000,7577,0
31,2018-10-18 00:00:00,\N,360,6.800000,290.250000,50,\N,91640,\N,7591,0
32,2018-10-18 00:00:00,101570,0,0.000000,286.150000,99,100,100860,0.000000,7607,0
33,2018-10-18 00:00:00,101560,220,0.800000,283.750000,98,101,97250,0.000000,7621,0
34,2018-10-18 00:00:00,101530,260,1.000000,286.450000,95,101,96680,0.000000,7627,45
35,2018-10-18 00:00:00,101520,320,1.100000,288.750000,85,\N,99750,0.000000,7630,0
36,2018-10-18 00:00:00,101480,20,1.100000,290.050000,89,100,101390,\N,7643,0
37,2018-10-18 00:00:00,101470,50,5.100000,291.750000,85,100,101090,0.000000,7650,0
38,2018-10-18 00:00:00,101380,50,8.100000,290.350000,100,\N,99940,\N,7661,\N
39,2018-10-18 00:00:00,101480,330,3.000000,292.850000,71,90,101170,0.000000,7690,2
40,2018-10-18 00:00:00,101490,0,0.000000,290.350000,90,100,100970,0.000000,7747,61
41,2018-10-18 00:00:00,101290,50,3.100000,289.750000,87,90,101180,0.000000,7761,0
42,2018-10-18 00:00:00,101480,240,1.700000,289.950000,97,\N,101340,0.000000,7790,0
43,2018-10-18 00:00:00,101140,80,2.900000,298.350000,82,\N,101090,\N,61968,\N
44,2018-10-18 00:00:00,101060,60,3.800000,297.350000,77,\N,100990,\N,61972,\N
45,2018-10-18 00:00:00,\N,120,3.400000,296.650000,77,\N,\N,\N,61976,\N
46,2018-10-18 00:00:00,101480,150,1.600000,295.250000,62,\N,101330,\N,61980,0
47,2018-10-18 00:00:00,102340,310,9.800000,286.250000,81,\N,101990,\N,61996,\N
48,2018-10-18 00:00:00,100480,140,3.600000,273.450000,88,\N,100110,\N,61998,\N
49,2018-10-18 00:00:00,101110,40,4.800000,298.750000,84,\N,101030,\N,67005,0
50,2018-10-18 00:00:00,100890,210,3.000000,280.050000,75,100,100800,\N,71805,0
51,2018-10-18 00:00:00,101430,80,9.100000,301.150000,75,\N,101110,\N,78890,\N
52,2018-10-18 00:00:00,101550,60,8.400000,300.050000,79,\N,101040,\N,78894,\N
53,2018-10-18 00:00:00,101470,80,2.000000,298.550000,83,\N,101380,\N,78897,\N
54,2018-10-18 00:00:00,101370,110,9.700000,301.250000,77,\N,100930,\N,78922,\N
55,2018-10-18 00:00:00,101340,100,6.200000,299.350000,83,100,101250,\N,78925,61
56,2018-10-18 00:00:00,101060,50,1.200000,299.650000,90,\N,101000,\N,81401,\N
57,2018-10-18 00:00:00,101120,80,2.000000,300.150000,87,\N,101030,\N,81405,0
58,2018-10-18 00:00:00,101110,140,0.700000,299.450000,89,\N,101030,\N,81408,\N
59,2018-10-18 00:00:00,101080,0,0.000000,299.650000,89,\N,99870,\N,81415,\N
60,2018-10-18 00:00:00,96940,10,2.600000,259.050000,50,10,96390,\N,89642,1
61,2018-10-18 03:00:00,102320,350,1.700000,280.950000,95,\N,101430,0.000000,7005,45
62,2018-10-18 03:00:00,102290,10,3.100000,284.150000,94,\N,101720,\N,7015,10
63,2018-10-18 03:00:00,102290,60,10.100000,289.050000,83,75,102190,\N,7020,3
64,2018-10-18 03:00:00,102240,30,3.800000,287.750000,84,100,101440,0.000000,7027,0
65,2018-10-18 03:00:00,102210,40,5.300000,284.550000,88,\N,100370,0.000000,7037,0
66,2018-10-18 03:00:00,102030,290,2.700000,283.850000,94,\N,100880,0.000000,7072,10
67,2018-10-18 03:00:00,102190,20,2.700000,284.150000,98,\N,101000,0.000000,7110,0
68,2018-10-18 03:00:00,102190,50,9.800000,288.550000,84,\N,101500,\N,7117,\N
69,2018-10-18 03:00:00,102020,10,2.600000,287.650000,91,100,101580,0.000000,7130,0
70,2018-10-18 03:00:00,102100,30,4.100000,285.550000,89,\N,100360,0.000000,7139,0
71,2018-10-18 03:00:00,102040,10,4.800000,286.050000,88,0,100960,0.000000,7149,2
72,2018-10-18 03:00:00,101920,290,4.500000,284.050000,95,\N,100490,0.000000,7168,10
73,2018-10-18 03:00:00,101940,340,2.000000,282.550000,93,\N,97830,\N,7181,0
74,2018-10-18 03:00:00,101880,310,0.900000,281.750000,94,\N,100040,0.000000,7190,0
75,2018-10-18 03:00:00,101900,20,7.300000,286.750000,92,\N,101380,\N,7207,\N
76,2018-10-18 03:00:00,101830,30,2.400000,287.050000,90,100,101520,0.000000,7222,0
77,2018-10-18 03:00:00,101870,50,4.900000,286.950000,85,\N,100530,0.000000,7240,0
78,2018-10-18 03:00:00,101750,40,1.300000,286.550000,81,\N,99770,0.000000,7255,0
79,2018-10-18 03:00:00,101690,350,4.700000,286.950000,70,\N,99000,0.000000,7280,0
80,2018-10-18 03:00:00,101900,280,0.600000,278.650000,97,90,98570,0.000000,7299,28
81,2018-10-18 03:00:00,101610,50,4.600000,289.550000,82,100,101340,\N,7314,3
82,2018-10-18 03:00:00,101760,40,3.800000,286.850000,86,90,100330,0.000000,7335,0
83,2018-10-18 03:00:00,101580,50,4.900000,288.650000,60,90,96890,0.000000,7434,0
84,2018-10-18 03:00:00,101760,50,1.200000,281.150000,83,100,97840,0.000000,7460,0
85,2018-10-18 03:00:00,\N,220,1.000000,282.350000,86,100,92130,0.000000,7471,0
86,2018-10-18 03:00:00,101640,360,0.700000,284.150000,88,40,98770,0.000000,7481,1
87,2018-10-18 03:00:00,101500,40,1.400000,287.450000,96,100,100930,0.000000,7510,44
88,2018-10-18 03:00:00,101520,0,0.000000,287.050000,97,100,98440,0.000000,7535,61
89,2018-10-18 03:00:00,101450,30,3.300000,286.250000,83,\N,93280,0.000000,7558,0
90,2018-10-18 03:00:00,101470,30,0.900000,289.250000,78,\N,100590,0.000000,7577,60
91,2018-10-18 03:00:00,\N,350,6.400000,290.150000,51,\N,91550,\N,7591,0
92,2018-10-18 03:00:00,101500,0,0.000000,285.150000,98,100,100790,0.000000,7607,0
93,2018-10-18 03:00:00,101500,220,1.200000,284.450000,98,100,97200,0.000000,7621,0
94,2018-10-18 03:00:00,101500,230,1.000000,285.050000,95,101,96630,0.000000,7627,45
95,2018-10-18 03:00:00,101460,170,0.800000,288.250000,92,100,99690,0.000000,7630,0
96,2018-10-18 03:00:00,101370,10,3.300000,289.850000,90,100,101280,\N,7643,0
97,2018-10-18 03:00:00,101350,10,1.900000,291.850000,81,100,100970,0.000000,7650,0
98,2018-10-18 03:00:00,101250,50,7.300000,290.450000,97,\N,99810,\N,7661,\N
99,2018-10-18 03:00:00,101330,330,2.700000,292.250000,72,90,101020,0.000000,7690,2
100,2018-10-18 03:00:00,101360,310,2.900000,289.350000,95,100,100840,0.000000,7747,62
101,2018-10-18 03:00:00,101130,60,2.100000,288.350000,90,90,101020,0.000000,7761,0
102,2018-10-18 03:00:00,101340,230,1.400000,289.050000,98,\N,101200,0.000000,7790,0
103,2018-10-18 03:00:00,101270,80,3.900000,298.350000,82,\N,101220,\N,61968,\N
104,2018-10-18 03:00:00,101180,50,2.000000,298.450000,87,\N,101070,\N,61970,\N
105,2018-10-18 03:00:00,101210,60,3.300000,297.750000,76,\N,101140,\N,61972,\N
106,2018-10-18 03:00:00,\N,110,4.100000,297.950000,71,\N,\N,\N,61976,\N
107,2018-10-18 03:00:00,101600,120,4.100000,296.950000,70,\N,101450,\N,61980,0
108,2018-10-18 03:00:00,102360,310,7.700000,287.350000,78,\N,102010,\N,61996,\N
109,2018-10-18 03:00:00,100380,150,4.600000,273.450000,89,100,100010,\N,61998,71
110,2018-10-18 03:00:00,101280,30,3.600000,298.650000,83,\N,101200,\N,67005,0
111,2018-10-18 03:00:00,100490,120,4.800000,280.850000,84,100,100400,\N,71805,0
112,2018-10-18 03:00:00,101430,90,8.200000,301.050000,77,\N,101110,\N,78890,\N
113,2018-10-18 03:00:00,101560,80,4.400000,299.950000,78,\N,101050,\N,78894,\N
114,2018-10-18 03:00:00,101460,60,2.000000,299.150000,90,\N,101370,\N,78897,\N
