numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4
7005,20181022120000,103420,50,0,20,6.100000,287.550000,279.850000,60,19250,0,mq,mq,mq,mq,mq,mq,mq,mq,102540,mq,mq,610,mq,mq,mq,mq,282.050000,mq,mq,9.000000,10.200000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.200000,0.200000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
7015,20181022120000,103350,40,0,10,6.300000,287.950000,279.750000,58,27700,0,mq,mq,90,7,1250,mq,mq,mq,102780,mq,mq,550,mq,mq,mq,mq,279.750000,mq,mq,10.300000,10.300000,-10,0,mq,mq,mq,0.000000,0.000000,0.200000,0.600000,0.600000,mq,mq,mq,mq,7,mq,1110,mq,mq,mq,mq,mq,mq,mq,mq,mq
7020,20181022120000,103730,70,3,40,8.700000,286.650000,278.750000,59,20000,2,0,mq,40,3,1250,35,20,10,103630,mq,mq,830,mq,mq,mq,mq,mq,mq,mq,13.000000,15.000000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,3,6,1000,mq,mq,mq,mq,mq,mq,mq,mq,mq
7027,20181022120000,103500,70,0,30,4.400000,286.050000,283.750000,86,19830,0,mq,mq,100,8,450,mq,mq,mq,102680,mq,mq,680,mq,mq,mq,mq,280.350000,mq,mq,7.600000,10.600000,-10,1,0.000000,mq,mq,0.000000,0.200000,0.800000,1.200000,1.400000,mq,mq,mq,mq,8,mq,480,mq,mq,mq,mq,mq,mq,mq,mq,mq
7037,20181022120000,103360,40,0,30,6.600000,287.250000,281.650000,69,19580,0,mq,mq,100,8,450,mq,mq,mq,101520,mq,mq,570,mq,mq,mq,mq,281.650000,mq,mq,9.200000,11.500000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.200000,0.200000,mq,mq,mq,mq,8,mq,570,mq,mq,mq,mq,mq,mq,mq,mq,mq
7072,20181022120000,103070,40,0,30,4.200000,287.750000,284.850000,83,20000,0,mq,mq,100,7,450,mq,mq,mq,101920,mq,mq,350,mq,mq,mq,mq,278.450000,mq,mq,7.700000,9.200000,-10,0,0.000000,mq,mq,-0.100000,-0.100000,-0.100000,-0.100000,-0.100000,mq,mq,mq,mq,2,mq,480,3,mq,660,7,mq,840,mq,mq,mq
7110,20181022120000,103640,40,2,40,7.100000,285.950000,281.850000,76,19150,0,mq,mq,100,8,450,mq,mq,mq,102440,mq,mq,810,mq,mq,mq,mq,284.850000,mq,mq,11.600000,13.600000,-10,0,0.000000,mq,mq,0.000000,0.000000,-0.100000,0.200000,0.400000,mq,mq,mq,mq,8,mq,570,mq,mq,mq,mq,mq,mq,mq,mq,mq
7117,20181022120000,103630,70,1,40,10.800000,287.050000,281.050000,67,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,102920,mq,mq,770,mq,mq,mq,mq,mq,mq,mq,14.600000,15.000000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq
7130,20181022120000,103370,100,1,20,7.100000,287.850000,284.650000,81,43260,0,mq,mq,100,8,450,mq,mq,mq,102920,mq,mq,650,mq,mq,mq,mq,284.150000,mq,mq,10.300000,10.300000,-10,mq,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,8,mq,450,mq,mq,mq,mq,mq,mq,mq,mq,mq
7139,20181022120000,103340,120,1,30,6.200000,286.550000,283.750000,83,20000,0,mq,mq,100,8,450,mq,mq,mq,101580,mq,mq,590,mq,mq,mq,mq,284.650000,mq,mq,9.600000,11.900000,-10,0,0.000000,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,8,mq,390,mq,mq,mq,mq,mq,mq,mq,mq,mq
